Model,Architecture
E3-1290,Sandy Bridge
E3-1225,Sandy Bridge
E3-1220,Sandy Bridge
E3-1220L,Sandy Bridge
E3-1280,Sandy Bridge
E3-1275,Sandy Bridge
E3-1270,Sandy Bridge
E3-1260L,Sandy Bridge
E3-1245,Sandy Bridge
E3-1240,Sandy Bridge
E3-1235,Sandy Bridge
E3-1230,Sandy Bridge
i3-2375M,Sandy Bridge
i3-2348M,Sandy Bridge
i3-2328M,Sandy Bridge
i3-2365M,Sandy Bridge
i3-2377M,Sandy Bridge
i5-2550K,Sandy Bridge
i5-2380P,Sandy Bridge
i5-2450P,Sandy Bridge
i3-2370M,Sandy Bridge
i5-2450M,Sandy Bridge
i7-2700K,Sandy Bridge
i5-2435M,Sandy Bridge
i3-2367M,Sandy Bridge
i3-2350M,Sandy Bridge
i5-2430M,Sandy Bridge
i7-2670QM,Sandy Bridge
i7-2675QM,Sandy Bridge
i7-2760QM,Sandy Bridge
i7-2960XM,Sandy Bridge
i7-2860QM,Sandy Bridge
i5-2320,Sandy Bridge
i7-2640M,Sandy Bridge
i3-2130,Sandy Bridge
i3-2120T,Sandy Bridge
i3-2125,Sandy Bridge
i5-2467M,Sandy Bridge
i3-2330M,Sandy Bridge
i3-2330E,Sandy Bridge
i3-2340UE,Sandy Bridge
i3-2357M,Sandy Bridge
i7-2677M,Sandy Bridge
i7-2637M,Sandy Bridge
i5-2557M,Sandy Bridge
i5-2405S,Sandy Bridge
i5-2310,Sandy Bridge
i3-2102,Sandy Bridge
i3-2312M,Sandy Bridge
i3-2105,Sandy Bridge
i7-2655LE,Sandy Bridge
i7-2610UE,Sandy Bridge
i5-2537M,Sandy Bridge
i7-2617M,Sandy Bridge
i7-2657M,Sandy Bridge
i5-2515E,Sandy Bridge
i7-2649M,Sandy Bridge
i7-2629M,Sandy Bridge
i5-2510E,Sandy Bridge
i5-2390T,Sandy Bridge
i3-2100,Sandy Bridge
i3-2100T,Sandy Bridge
i3-2120,Sandy Bridge
i5-2540M,Sandy Bridge
i7-2620M,Sandy Bridge
i5-2520M,Sandy Bridge
i5-2410M,Sandy Bridge
i3-2310M,Sandy Bridge
i5-2500S,Sandy Bridge
i5-2500T,Sandy Bridge
i7-2600,Sandy Bridge
i7-2600K,Sandy Bridge
i7-2600S,Sandy Bridge
i7-2630QM,Sandy Bridge
i5-2500K,Sandy Bridge
i5-2500,Sandy Bridge
i7-2820QM,Sandy Bridge
i5-2400S,Sandy Bridge
i5-2400,Sandy Bridge
i7-2920XM,Sandy Bridge
i5-2300,Sandy Bridge
i7-2720QM,Sandy Bridge
i7-2715QE,Sandy Bridge
i7-2710QE,Sandy Bridge
i7-2635QM,Sandy Bridge
i3-2310E,Sandy Bridge
997,Sandy Bridge
987,Sandy Bridge
G645T,Sandy Bridge
G645,Sandy Bridge
B980,Sandy Bridge
G640T,Sandy Bridge
G870,Sandy Bridge
G860T,Sandy Bridge
G640,Sandy Bridge
977,Sandy Bridge
B970,Sandy Bridge
B960,Sandy Bridge
967,Sandy Bridge
G632,Sandy Bridge
G630T,Sandy Bridge
G630,Sandy Bridge
G860,Sandy Bridge
957,Sandy Bridge
B950,Sandy Bridge
B940,Sandy Bridge
G620,Sandy Bridge
G620T,Sandy Bridge
G622,Sandy Bridge
G840,Sandy Bridge
G850,Sandy Bridge
G470,Sandy Bridge
B830,Sandy Bridge
887,Sandy Bridge
G465,Sandy Bridge
G555,Sandy Bridge
G550T,Sandy Bridge
807,Sandy Bridge
B820,Sandy Bridge
877,Sandy Bridge
G550,Sandy Bridge
G540T,Sandy Bridge
B720,Sandy Bridge
B815,Sandy Bridge
867,Sandy Bridge
797,Sandy Bridge
G460,Sandy Bridge
807UE,Sandy Bridge
G540,Sandy Bridge
G530T,Sandy Bridge
G530,Sandy Bridge
B840,Sandy Bridge
G440,Sandy Bridge
787,Sandy Bridge
B710,Sandy Bridge
827E,Sandy Bridge
857,Sandy Bridge
B800,Sandy Bridge
847,Sandy Bridge
847E,Sandy Bridge
B810E,Sandy Bridge
B810,Sandy Bridge
E5-4603,Sandy Bridge
E5-4650,Sandy Bridge
E5-4617,Sandy Bridge
E5-4620,Sandy Bridge
E5-4650L,Sandy Bridge
E5-4607,Sandy Bridge
E5-4640,Sandy Bridge
E5-4610,Sandy Bridge
E5-2630,Sandy Bridge
E5-1650,Sandy Bridge
E5-2637,Sandy Bridge
E5-2665,Sandy Bridge
E5-2690,Sandy Bridge
E5-2670,Sandy Bridge
E5-2620,Sandy Bridge
E5-2648L,Sandy Bridge
E5-2603,Sandy Bridge
E5-2640,Sandy Bridge
E5-2650,Sandy Bridge
E5-2667,Sandy Bridge
E5-2609,Sandy Bridge
E5-2643,Sandy Bridge
E5-2630L,Sandy Bridge
E5-2650L,Sandy Bridge
E5-2660,Sandy Bridge
E5-2680,Sandy Bridge
E5-2687W,Sandy Bridge
E5-2658,Sandy Bridge
E5-1660,Sandy Bridge
E5-1620,Sandy Bridge
E5-2450L,Sandy Bridge
E5-2450,Sandy Bridge
E5-2440,Sandy Bridge
E5-2430L,Sandy Bridge
E5-2407,Sandy Bridge
E5-2403,Sandy Bridge
E5-2430,Sandy Bridge
E5-2420,Sandy Bridge
E5-2470,Sandy Bridge
E5-2448L,Sandy Bridge
E5-2428L,Sandy Bridge
E5-2418L,Sandy Bridge
E5-1428L,Sandy Bridge
1405,Sandy Bridge
E7-2850,Ivy Bridge
E7-4880,Ivy Bridge
E7-8893,Ivy Bridge
E7-8891,Ivy Bridge
E7-8890,Ivy Bridge
E7-8880,Ivy Bridge
E7-8880L,Ivy Bridge
E7-8870,Ivy Bridge
E7-8857,Ivy Bridge
E7-8850,Ivy Bridge
E7-4890,Ivy Bridge
E7-4870,Ivy Bridge
E7-4860,Ivy Bridge
E7-4850,Ivy Bridge
E7-4830,Ivy Bridge
E7-4820,Ivy Bridge
E7-4809,Ivy Bridge
E7-2890,Ivy Bridge
E7-2880,Ivy Bridge
E7-2870,Ivy Bridge
E3-1220L,Ivy Bridge
E3-1220,Ivy Bridge
E3-1225,Ivy Bridge
E3-1230,Ivy Bridge
E3-1240,Ivy Bridge
E3-1245,Ivy Bridge
E3-1265L,Ivy Bridge
E3-1270,Ivy Bridge
E3-1275,Ivy Bridge
E3-1280,Ivy Bridge
E3-1290,Ivy Bridge
i7-3940XM,Ivy Bridge
